order Id,order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD10012,2025-12-19,2025-12-21,CUST681,James Cole,Home Office,PROD13485,Pen,Office Supplies,North,Virginia,Mitchellport,4,527,25,1581.0,774.73,806.27,Cash,Delivered,"Lin, Estrada and Torres",bruce44@edwards.com,27,No,0
ORD10013,2025-09-01,2025-09-05,CUST502,Christine Haynes,Corporate,PROD11515,Snacks,Grocery,North,Maryland,West Brittanymouth,8,179,25,1074.0,849.41,224.59,Cash,Delivered,"Brown, Manning and Ashley",carmen81@miller-mason.com,18,No,0
ORD10014,2025-03-04,2025-03-05,CUST529,Melanie Shaffer,Home Office,PROD18097,Rice Bag,Grocery,North,Pennsylvania,Lisamouth,3,429,10,1158.3,925.96,232.34,Credit Card,Pending,Mccoy-Miller,tyler74@gaines.org,7,Yes,33
ORD10015,2024-11-29,2024-12-03,CUST853,Amber Brooks,Corporate,PROD14747,Dining Table,Furniture,West,Georgia,Rayside,6,17864,15,91106.4,69567.42,21538.98,UPI,Cancelled,"Gallagher, Hammond and Hensley",lydia93@webster.com,6,Yes,44
ORD10016,2025-02-12,2025-02-18,CUST579,John Anderson,Corporate,PROD18860,Cooking Oil,Grocery,North,Wisconsin,Lake Nicholas,7,260,15,1547.0,1369.98,177.02,UPI,Pending,"Lloyd, Mills and Herman",mturner@soto.com,47,No,0
ORD10017,2025-10-24,2025-10-30,CUST497,Gregory Moss,Consumer,PROD19479,File Folder,Office Supplies,South,Kentucky,Emilytown,4,1448,5,5502.4,2530.06,2972.34,UPI,Pending,Henry-Fletcher,caitlincross@williams-aguilar.com,37,No,0
ORD10018,2025-12-06,2025-12-07,CUST337,Jessica Adams,Consumer,PROD16649,Study Table,Furniture,North,Georgia,Danaland,2,15546,25,23319.0,11704.74,11614.26,Cash,Delivered,Pearson LLC,melissa01@cole.biz,18,No,0
ORD10019,2025-12-23,2025-12-26,CUST792,Mariah Casey,Corporate,PROD19168,Stapler,Office Supplies,West,Minnesota,Bakerfort,8,1573,15,10696.4,7162.81,3533.59,UPI,Cancelled,Jones PLC,erin29@neal.info,13,No,0
ORD10020,2024-06-16,2024-06-19,CUST159,Justin Jackson,Home Office,PROD11505,Mouse,Electronics,South,Nevada,Kimburgh,8,25294,10,182116.8,157794.09,24322.71,Cash,Returned,Henderson Inc,brandonsmith@cole.com,46,No,0
ORD10021,2026-02-27,2026-03-05,CUST342,Anthony Roberts,Corporate,PROD18281,BookSelf,Furniture,North,Wyoming,East Danielle,7,6309,20,35330.4,23343.8,11986.6,Credit Card,Returned,Noble-Gutierrez,fgoodman@cook-larson.org,16,No,0
ORD10022,2026-02-03,2026-02-08,CUST512,Jason Becker,Corporate,PROD14532,Moniter,Electronics,West,Washington,Kerrville,2,32779,15,55724.3,48252.72,7471.58,Net Banking,Pending,Bennett LLC,aeverett@lopez-lee.com,10,No,0
ORD10023,2024-07-02,2024-07-07,CUST819,Tyler Mason,Corporate,PROD18639,Keyboard,Electronics,West,Louisiana,Port Jenniferfurt,5,40473,15,172010.25,139651.62,32358.63,Credit Card,Cancelled,"Hall, Smith and Huang",andrew41@adams.info,16,No,0
ORD10024,2025-06-24,2025-06-28,CUST214,Jennifer Johnson,Consumer,PROD14443,Dining Table,Furniture,North,Oregon,Hudsonton,9,13809,25,93210.75,63550.72,29660.03,UPI,Returned,"Rocha, Johnson and Ferguson",sgiles@brown.com,34,No,0
ORD10025,2024-05-28,2024-05-29,CUST251,Joseph Higgins,Consumer,PROD12172,Snacks,Grocery,South,South Dakota,East Jennaburgh,3,257,5,732.45,654.91,77.54,Cash,Returned,Aguirre-Ballard,james63@holmes.com,38,No,0
ORD10026,2024-12-21,2024-12-23,CUST871,Laura Ramos,Consumer,PROD16199,Mouse,Electronics,South,Massachusetts,Haileymouth,4,33355,5,126749.0,112254.56,14494.44,Net Banking,Returned,Mitchell-Smith,jerry24@molina-king.com,25,No,0
ORD10027,2024-12-22,2024-12-26,CUST850,Bradley Todd,Consumer,PROD12285,Laptop,Electronics,East,Louisiana,Swansonhaven,5,28649,20,114596.0,96456.01,18139.99,Cash,Returned,"Gonzalez, Price and Curry",tamaradixon@dickerson.com,29,No,0
ORD10028,2024-07-27,2024-08-01,CUST208,Emily Gonzales,Home Office,PROD12517,Moniter,Electronics,South,Massachusetts,Douglasburgh,3,35621,15,90833.55,79719.42,11114.13,Net Banking,Pending,Graham LLC,meagan09@baldwin.com,21,No,0
ORD10029,2024-12-13,2024-12-20,CUST693,Debbie Martin,Consumer,PROD19305,File Folder,Office Supplies,North,Florida,Murphyport,1,903,20,722.4,350.63,371.77,Credit Card,Delivered,"Rodriguez, Gregory and Snow",gomezdouglas@mitchell-ryan.com,42,No,0
ORD10030,2024-04-11,2024-04-18,CUST443,Michele Lynch,Corporate,PROD11483,Dining Table,Furniture,North,North Carolina,North Alyssa,10,16760,15,142460.0,113578.43,28881.57,Cash,Pending,"Webb, Contreras and Lawrence",popecharles@young.com,35,No,0
ORD10031,2025-02-17,2025-02-22,CUST136,Grant Cook,Home Office,PROD15896,Snacks,Grocery,North,Michigan,New Donnaborough,9,396,25,2673.0,2031.27,641.73,Cash,Delivered,Swanson-Sanders,hjohnson@johnson-foster.com,35,No,0
ORD10032,2026-01-18,2026-01-20,CUST302,Steven Jones,Home Office,PROD18977,BookSelf,Furniture,West,Idaho,East Benjaminside,4,5593,5,21253.4,13967.3,7286.1,Cash,Delivered,"Johnson, Lawrence and Noble",larry56@hernandez-smith.com,26,No,0
ORD10033,2025-12-12,2025-12-16,CUST525,Jacob Adams,Corporate,PROD17753,Calculater,Office Supplies,South,Rhode Island,Taylormouth,9,1980,0,17820.0,8735.56,9084.44,UPI,Returned,Murray-Liu,pricemichelle@graves.biz,36,No,0
ORD10034,2025-05-30,2025-06-06,CUST634,Kelly Lopez,Consumer,PROD16593,Headphones,Electronics,South,Delaware,Johnsonfurt,9,35934,10,291065.4,245480.87,45584.53,Credit Card,Pending,"Clark, Valdez and Savage",michaelconrad@jacobs-hull.com,37,No,0
ORD10035,2024-07-29,2024-08-05,CUST780,Sheri Nelson,Home Office,PROD12321,Mouse,Electronics,East,New York,Ramoston,3,19468,20,46723.2,38512.8,8210.4,Cash,Delivered,Walker LLC,becklisa@vega-christensen.com,8,Yes,43
ORD10036,2024-11-29,2024-12-06,CUST583,Richard Wood,Consumer,PROD13441,Moniter,Electronics,North,Alabama,North Jerometown,7,45579,5,303100.35,266123.32,36977.03,UPI,Returned,Henderson-Jones,jessicabaker@jackson.com,13,No,0
ORD10037,2025-08-23,2025-08-29,CUST155,Edward Rivera,Home Office,PROD19644,Keyboard,Electronics,South,Oklahoma,Sarahfort,4,14422,25,43266.0,37178.04,6087.96,Net Banking,Returned,Cox-Jackson,steven92@smith.com,24,No,0
ORD10038,2024-08-14,2024-08-16,CUST735,Edward Evans,Consumer,PROD17984,Moniter,Electronics,North,New Hampshire,Toddfort,8,47559,5,361448.4,314426.75,47021.65,Net Banking,Pending,Knight-Kemp,qcooley@montoya.biz,49,No,0
ORD10039,2024-11-21,2024-11-27,CUST667,Vickie Roberts,Home Office,PROD16808,Calculater,Office Supplies,North,Tennessee,Lambertfort,1,868,5,824.6,336.75,487.85,Net Banking,Returned,"Mullins, Ryan and Johnson",hayesmichael@carrillo.com,42,No,0
ORD10040,2025-05-03,2025-05-05,CUST153,Amy Lindsey,Consumer,PROD12589,Notebook,Office Supplies,North,Mississippi,East Matthew,1,1507,10,1356.3,626.73,729.57,Cash,Cancelled,"Miles, Dyer and Yoder",samantha92@bates-kemp.com,47,No,0
ORD10041,2024-04-26,2024-04-28,CUST341,Dennis Williams,Corporate,PROD16439,Moniter,Electronics,South,Arizona,Port Nathan,10,32687,25,245152.5,206408.82,38743.68,Net Banking,Pending,Warren and Sons,uwatson@garrett.com,20,No,0
ORD10042,2025-07-14,2025-07-17,CUST487,Nicole West,Corporate,PROD13389,Moniter,Electronics,North,Virginia,New Jeremy,9,44044,25,297297.0,270526.86,26770.14,UPI,Returned,Snow-Smith,briannamcknight@hayes-robinson.com,29,No,0
ORD10043,2025-11-12,2025-11-17,CUST129,Richard Lamb,Corporate,PROD12095,Keyboard,Electronics,North,Louisiana,Whitefurt,5,13917,25,52188.75,44281.34,7907.41,Net Banking,Cancelled,"Shah, Morris and Gonzalez",anthony24@wiggins.com,42,No,0
ORD10044,2024-08-05,2024-08-10,CUST120,Tracie Walters,Corporate,PROD11428,Study Table,Furniture,North,Texas,Javierborough,1,18917,10,17025.3,9230.83,7794.47,Credit Card,Delivered,Turner-Bruce,stewartjonathan@lewis-craig.info,14,No,0
ORD10045,2025-06-19,2025-06-21,CUST773,Kelly Brown,Home Office,PROD16964,Study Table,Furniture,South,Colorado,Hillchester,3,11306,10,30526.2,22640.81,7885.39,Credit Card,Pending,Oliver and Sons,deanna74@woods.biz,4,Yes,35
ORD10046,2024-08-15,2024-08-17,CUST370,Micheal Baker,Corporate,PROD18677,Headphones,Electronics,South,Kansas,Lake Pamelafort,10,45872,25,344040.0,280368.29,63671.71,UPI,Returned,Harrison-Munoz,erikjones@jenkins-brown.com,29,No,0
ORD10047,2025-12-31,2026-01-06,CUST527,Taylor Aguilar,Home Office,PROD15282,Office Chair,Furniture,North,Maryland,South Emilychester,7,6176,20,34585.6,17557.36,17028.24,Cash,Cancelled,Moore Group,ambergonzales@peters.biz,9,Yes,46
ORD10048,2026-03-07,2026-03-14,CUST441,Benjamin Gutierrez,Consumer,PROD11247,File Folder,Office Supplies,North,Alabama,South Lance,8,1827,15,12423.6,8355.2,4068.4,Net Banking,Returned,Hernandez-Robles,david74@fowler.net,14,No,0
ORD10049,2025-12-09,2025-12-16,CUST230,Dustin Diaz,Home Office,PROD11329,Study Table,Furniture,South,Virginia,Hollyhaven,5,15242,15,64778.5,47158.55,17619.95,Cash,Delivered,Mccarty-Cruz,ryan17@williams-bailey.org,44,No,0
ORD10050,2026-01-04,2026-01-09,CUST430,Lisa Jackson,Home Office,PROD17192,Rice Bag,Grocery,West,North Carolina,North Sergioberg,6,373,25,1678.5,1381.47,297.03,UPI,Delivered,Hunter-Stein,simsdaniel@flores-smith.org,32,No,0
ORD10051,2024-07-17,2024-07-23,CUST473,Maria Vasquez,Home Office,PROD17225,Sugar,Grocery,North,Rhode Island,East Juliaport,10,976,10,8784.0,7714.49,1069.51,Cash,Cancelled,"Goodwin, Pugh and Munoz",davidacosta@mann.com,42,No,0
ORD10052,2024-10-26,2024-11-01,CUST761,Donna Ellis,Corporate,PROD12834,Cooking Oil,Grocery,North,Louisiana,Port Sandra,6,425,0,2550.0,2004.67,545.33,UPI,Returned,Mccall-Brown,chelseayoung@webb.info,11,No,0
ORD10053,2026-02-11,2026-02-13,CUST614,Jason Lloyd,Consumer,PROD15811,Headphones,Electronics,West,New Mexico,North Drewstad,1,21236,10,19112.4,17495.35,1617.05,Cash,Pending,Wilson-Nelson,leonardemily@ramirez.com,15,No,0
ORD10054,2025-10-02,2025-10-06,CUST175,Tim Murphy,Corporate,PROD11619,Headphones,Electronics,South,Missouri,Shellyville,9,24105,5,206097.75,183824.42,22273.33,Net Banking,Returned,Wright LLC,tatediana@sanchez.com,7,Yes,28
ORD10055,2024-11-18,2024-11-22,CUST313,David Lopez,Consumer,PROD11590,Laptop,Electronics,North,Arizona,North Emily,3,11253,5,32071.05,29392.9,2678.15,UPI,Cancelled,"Schmidt, Johnson and Medina",mlee@lopez.com,10,No,0
ORD10056,2024-06-17,2024-06-23,CUST323,Margaret Cox,Home Office,PROD16079,Moniter,Electronics,North,South Carolina,Hansonview,5,38915,0,194575.0,174059.14,20515.86,Cash,Pending,Matthews-Turner,maryhorton@andrews.com,27,No,0
ORD10057,2025-02-19,2025-02-26,CUST681,Michael Acosta,Consumer,PROD19303,Mouse,Electronics,East,Alabama,Port Angelaville,2,48113,5,91414.7,78202.78,13211.92,UPI,Pending,Carpenter and Sons,gravesbrittany@gonzales-nelson.org,47,No,0
ORD10058,2026-01-23,2026-01-24,CUST590,Evelyn King,Consumer,PROD11696,Laptop,Electronics,West,Michigan,Gilbertberg,4,42016,15,142854.4,120551.68,22302.72,Credit Card,Cancelled,Fuentes Group,xcopeland@escobar.net,7,Yes,25
ORD10059,2025-08-26,2025-08-30,CUST129,Jerry Melendez,Consumer,PROD13635,Dining Table,Furniture,West,New York,Port Ian,9,18371,0,165339.0,128424.84,36914.16,Credit Card,Pending,"Hensley, Fisher and Riley",bmoore@rose-quinn.com,4,Yes,22
ORD10060,2025-05-30,2025-06-03,CUST369,George Johnson,Consumer,PROD18314,Moniter,Electronics,South,Delaware,Lake Joel,9,30777,25,207744.75,192374.19,15370.56,Credit Card,Returned,"Curtis, Daniel and Baldwin",angelalove@hunter.org,18,No,0
ORD10061,2025-12-11,2025-12-16,CUST303,Nicholas Carr,Corporate,PROD13414,Laptop,Electronics,West,Kansas,West Sarah,7,28097,10,177011.1,152449.43,24561.67,Cash,Returned,"Jones, Schmidt and Phillips",william87@church.com,22,No,0
ORD10062,2025-02-07,2025-02-10,CUST441,Carolyn Mcintyre,Corporate,PROD18497,Office Chair,Furniture,South,California,Hayesborough,1,15986,5,15186.7,9905.5,5281.2,Credit Card,Delivered,Walsh-Ross,hammondmakayla@fernandez.com,7,Yes,33
ORD10063,2025-03-15,2025-03-19,CUST852,Shannon Jackson,Consumer,PROD13054,Study Table,Furniture,South,Alabama,Dennisfurt,2,6853,10,12335.4,8145.96,4189.44,Net Banking,Cancelled,"Bryant, Ramos and Pearson",traci55@vazquez-davis.net,39,No,0
ORD10064,2025-05-31,2025-06-07,CUST957,Jacqueline Dennis,Consumer,PROD12357,Notebook,Office Supplies,East,Kentucky,New Johnmouth,10,646,5,6137.0,3127.19,3009.81,Credit Card,Returned,"Diaz, Sanchez and Wilkins",ybrown@lin.com,20,No,0
ORD10065,2024-09-04,2024-09-06,CUST295,Amanda Preston,Corporate,PROD19274,Moniter,Electronics,North,Oklahoma,Port Johnny,3,28911,10,78059.7,64234.61,13825.09,Net Banking,Pending,"Kennedy, Martinez and Daniels",cjackson@barr.com,36,No,0
ORD10066,2024-07-29,2024-08-01,CUST748,Vicki Frye,Corporate,PROD15430,Mouse,Electronics,East,Louisiana,Allenmouth,4,47906,10,172461.6,148856.42,23605.18,Cash,Returned,Patterson Group,thomas55@mcdonald-clements.com,9,Yes,40
ORD10067,2026-02-02,2026-02-03,CUST160,Danielle Clark,Consumer,PROD19011,Mouse,Electronics,North,West Virginia,North Kristinfort,10,19935,15,169447.5,155468.78,13978.72,Credit Card,Pending,Walker-Romero,dayaaron@grant-vaughn.com,12,No,0
ORD10068,2025-08-14,2025-08-18,CUST820,Sierra Grant,Consumer,PROD14118,Snacks,Grocery,South,Wisconsin,Lauriemouth,7,591,5,3930.15,3476.12,454.03,Cash,Delivered,Terry-Bradshaw,brianna19@anthony.org,12,No,0
ORD10069,2024-11-27,2024-11-30,CUST148,Debra Clark,Consumer,PROD17344,Study Table,Furniture,North,Mississippi,New Mary,2,19464,10,35035.2,20884.07,14151.13,Cash,Cancelled,Gillespie-Bass,rbailey@snyder.biz,28,No,0
ORD10070,2025-08-18,2025-08-23,CUST684,Joseph Johnson,Corporate,PROD15210,Notebook,Office Supplies,North,Wyoming,Caldwellberg,6,754,15,3845.4,1984.59,1860.81,Credit Card,Delivered,Wheeler-Colon,john44@hansen.com,12,No,0
ORD10071,2024-11-07,2024-11-13,CUST536,Edward Salinas,Corporate,PROD19352,Cooking Oil,Grocery,South,Louisiana,South Josephchester,1,507,15,430.95,372.08,58.87,Credit Card,Returned,Blair Ltd,kyliedougherty@norris.info,39,No,0
ORD10072,2024-09-03,2024-09-04,CUST496,Cynthia Mejia,Home Office,PROD19015,Juice Pack,Grocery,South,Virginia,North Nathan,5,591,0,2955.0,2414.43,540.57,Cash,Cancelled,Mitchell-Brown,crogers@mcfarland.biz,44,No,0
ORD10073,2025-10-09,2025-10-15,CUST413,Adam Tyler,Consumer,PROD16007,Calculater,Office Supplies,South,Washington,East Timothyton,10,984,5,9348.0,6244.83,3103.17,UPI,Pending,Gutierrez-Gomez,smithchristian@klein.com,33,No,0
ORD10074,2024-08-08,2024-08-11,CUST559,Aimee Sherman,Corporate,PROD14251,Notebook,Office Supplies,South,Michigan,Lindsaybury,1,142,25,106.5,57.63,48.87,Credit Card,Cancelled,"Suarez, West and Weaver",christopherwright@silva.com,49,No,0
ORD10075,2024-09-17,2024-09-19,CUST517,Amy Brooks,Consumer,PROD18243,BookSelf,Furniture,South,Texas,Deborahberg,6,6120,0,36720.0,26531.07,10188.93,Credit Card,Delivered,"Ford, Miles and Moore",rhondarowe@bailey.info,21,No,0
ORD10076,2024-10-22,2024-10-26,CUST214,Bruce Parker,Home Office,PROD15547,Sugar,Grocery,East,Maryland,Lanceville,8,373,15,2536.4,1951.8,584.6,Net Banking,Delivered,Hanson-Mcgrath,rrogers@davis-sullivan.com,10,No,0
ORD10077,2025-01-09,2025-01-14,CUST986,Brett Martin,Corporate,PROD12762,Office Chair,Furniture,North,Maryland,Bellstad,7,13425,20,75180.0,47761.65,27418.35,Credit Card,Delivered,Thomas-Valentine,reyeslisa@williams-garcia.com,15,No,0
ORD10078,2024-12-06,2024-12-07,CUST495,Austin Walters,Home Office,PROD11582,Sugar,Grocery,East,South Dakota,Hansenfort,7,263,10,1656.9,1250.37,406.53,Cash,Delivered,Valenzuela-Carter,kathymaynard@burch.biz,3,Yes,31
ORD10079,2024-09-07,2024-09-12,CUST919,Heather Reyes,Corporate,PROD11038,Office Chair,Furniture,West,West Virginia,South Christy,9,7148,25,48249.0,34132.64,14116.36,Credit Card,Pending,Lynn-Benitez,ztaylor@taylor.info,37,No,0
ORD10080,2026-01-24,2026-01-26,CUST974,Luke Trujillo,Corporate,PROD17274,Juice Pack,Grocery,North,Mississippi,Kaitlynhaven,6,564,5,3214.8,2489.43,725.37,Net Banking,Returned,"Torres, Davis and Matthews",johnclements@johnson-rowland.org,46,No,0
ORD10081,2024-04-14,2024-04-17,CUST229,Jason Griffin,Consumer,PROD13592,Study Table,Furniture,North,Florida,Kendraview,9,9523,5,81421.65,55939.57,25482.08,Cash,Pending,"Cabrera, Harper and Simmons",christinacooper@smith.com,27,No,0
ORD10082,2025-08-15,2025-08-22,CUST713,Logan Guerrero,Consumer,PROD18972,Rice Bag,Grocery,South,Wyoming,South James,9,500,10,4050.0,3407.63,642.37,UPI,Delivered,"Avila, Stevens and Taylor",helen71@cohen-edwards.org,24,No,0
ORD10083,2025-04-14,2025-04-20,CUST618,Thomas Ortiz,Home Office,PROD14103,Calculater,Office Supplies,South,Indiana,Baileyville,10,196,15,1666.0,833.95,832.05,Net Banking,Pending,"Parker, Pierce and Smith",charles51@patterson-hodges.com,19,No,0
ORD10084,2025-09-17,2025-09-20,CUST681,Jodi Johnson,Corporate,PROD11956,Rice Bag,Grocery,North,Utah,Perryport,10,162,15,1377.0,1181.95,195.05,Net Banking,Pending,Thompson-Johnson,trevorellison@garrett.com,23,No,0
ORD10085,2024-08-19,2024-08-20,CUST306,Nancy Moore,Consumer,PROD16957,Office Chair,Furniture,South,New Hampshire,East Elaine,8,17156,5,130385.6,100388.52,29997.08,UPI,Cancelled,"Carter, Trevino and Cantrell",barbarabrown@schaefer-steele.com,38,No,0
ORD10086,2024-08-31,2024-09-05,CUST933,Andrea Fisher,Consumer,PROD18944,Juice Pack,Grocery,East,New Hampshire,Dennisstad,2,695,20,1112.0,924.22,187.78,Credit Card,Pending,Harrison-Warren,michelle04@butler.net,39,No,0
ORD10087,2024-05-27,2024-05-31,CUST151,Andrew Marquez,Corporate,PROD12219,Snacks,Grocery,South,Ohio,Jillmouth,1,591,5,561.45,472.74,88.71,UPI,Cancelled,"Townsend, Miller and Barnett",christian71@jackson.org,46,No,0
ORD10088,2025-01-20,2025-01-26,CUST403,Beverly Ortiz,Home Office,PROD13612,Juice Pack,Grocery,South,South Dakota,Copelandbury,3,653,15,1665.15,1401.58,263.57,Cash,Returned,Larsen LLC,paul64@reeves.com,11,No,0
ORD10089,2025-04-29,2025-05-05,CUST128,Lee Romero,Consumer,PROD18680,File Folder,Office Supplies,South,New Mexico,North Jeffrey,6,1934,5,11023.8,7624.92,3398.88,Credit Card,Returned,Sanchez PLC,mathewsmith@morris-hall.org,36,No,0
ORD10090,2026-03-10,2026-03-17,CUST714,Jennifer Ryan,Home Office,PROD14866,Sofa,Furniture,North,Colorado,East Ronaldfurt,9,9628,0,86652.0,62844.67,23807.33,Net Banking,Delivered,Stevens-Ross,bholmes@smith.biz,39,No,0
ORD10091,2025-08-29,2025-09-03,CUST306,Kara Cummings,Home Office,PROD17197,Moniter,Electronics,East,Tennessee,East Jonathan,4,27066,10,97437.6,85192.18,12245.42,UPI,Pending,Dillon PLC,hurstmatthew@wallace-torres.com,2,Yes,46
ORD10092,2025-09-23,2025-09-27,CUST389,Cameron Medina,Corporate,PROD18813,BookSelf,Furniture,North,Tennessee,Parkerbury,7,7619,10,47999.7,34309.13,13690.57,UPI,Returned,Velez and Sons,richard93@doyle.com,23,No,0
ORD10093,2025-04-28,2025-05-02,CUST251,Adrian Martinez,Home Office,PROD17495,Laptop,Electronics,North,Indiana,Hillport,4,14336,20,45875.2,37611.38,8263.82,Cash,Cancelled,Saunders PLC,russell27@grant.org,33,No,0
ORD10094,2024-11-15,2024-11-21,CUST546,Gabriela Alvarado,Home Office,PROD15140,Pen,Office Supplies,South,New Mexico,Glorialand,1,1160,10,1044.0,579.63,464.37,Cash,Delivered,"Rangel, Nguyen and Browning",cheryl38@schultz-fuller.org,6,Yes,36
ORD10095,2025-08-21,2025-08-24,CUST640,Thomas Sims,Consumer,PROD13723,Calculater,Office Supplies,West,West Virginia,Larsonport,10,202,15,1717.0,976.83,740.17,Cash,Returned,Walker-Moon,xwashington@morgan.org,45,No,0
ORD10096,2025-06-30,2025-07-05,CUST254,Anthony Sims,Home Office,PROD11264,Dining Table,Furniture,North,North Carolina,Jennyton,9,8508,0,76572.0,40672.7,35899.3,UPI,Pending,Neal-Lewis,jordankimberly@young.com,9,Yes,50
ORD10097,2025-05-12,2025-05-16,CUST487,Alexandra Hines,Consumer,PROD19415,Sofa,Furniture,North,South Carolina,New Joshua,6,13313,5,75884.1,47012.81,28871.29,Credit Card,Returned,Mullen-Gomez,kingjoel@johnson.net,22,No,0
ORD10098,2024-07-31,2024-08-01,CUST150,Alex White,Corporate,PROD17822,Snacks,Grocery,North,Louisiana,East Anthony,8,831,0,6648.0,5475.81,1172.19,Net Banking,Returned,Pollard PLC,david09@sullivan.com,42,No,0
ORD10099,2025-06-03,2025-06-07,CUST195,Jerry Mills,Home Office,PROD13831,Laptop,Electronics,South,Ohio,West Connor,8,44843,0,358744.0,289171.64,69572.36,Credit Card,Pending,Beck-Nunez,ypeterson@torres.com,34,No,0
ORD10100,2025-12-19,2025-12-21,CUST201,Betty Thomas,Consumer,PROD18353,Mouse,Electronics,West,Pennsylvania,Goodfort,10,17705,20,141640.0,118553.04,23086.96,UPI,Cancelled,Cohen LLC,spencer00@peterson.info,45,No,0
ORD10101,2024-12-27,2024-12-28,CUST446,James Contreras,Consumer,PROD16418,Laptop,Electronics,North,Rhode Island,Rebeccafurt,9,30009,10,243072.9,227563.6,15509.3,Cash,Returned,"Gomez, Alvarez and Church",lbarnett@cole-holmes.com,19,No,0
ORD10102,2025-09-28,2025-10-04,CUST284,William Reyes,Home Office,PROD15301,File Folder,Office Supplies,North,Wisconsin,New Miguel,2,1215,5,2308.5,1296.54,1011.96,Credit Card,Returned,"Ellis, Mason and Mcneil",lyonsshannon@lindsey.com,30,No,0
ORD10103,2024-09-19,2024-09-25,CUST759,Daniel Young MD,Home Office,PROD14831,File Folder,Office Supplies,North,Connecticut,Nicoletown,8,948,0,7584.0,3642.94,3941.06,UPI,Cancelled,"Dunn, Coleman and Sharp",amy02@powers.biz,22,No,0
ORD10104,2024-05-09,2024-05-13,CUST161,Jill Roth,Consumer,PROD19751,Mouse,Electronics,West,Nebraska,Markhaven,6,17443,25,78493.5,66902.36,11591.14,UPI,Returned,Weiss-Gonzalez,icastillo@thompson.com,19,No,0
